"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite Value","PSI 90 Composite Value Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Score Footnote","Payment Reduction","Payment Reduction Footnote"
BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,450874,TX,2024,1.0014,,0.0572,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,0.0572,,No,
QUAIL CREEK SURGICAL HOSPITAL,450875,TX,2024,0.9050,,-0.7622,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7622,,No,
LUBBOCK HEART HOSPITAL LP,450876,TX,2024,0.9961,,0.0121,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.992,,1.5575,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.7848,,Yes,
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH,450880,TX,2024,0.9311,,-0.5403,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.5403,,No,
BAYLOR MEDICAL CENTER AT TROPHY CLUB,450883,TX,2024,0.9565,,-0.3244,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3244,,No,
BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,450885,TX,2024,0.8811,,-0.9645,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,1.389,,0.9175,,0.468,,-0.0133,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0201,,No,
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,450888,TX,2024,1.0171,,0.1901,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,0.1901,,No,
TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT,450889,TX,2024,0.9563,,-0.3260,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3260,,No,
BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO,450890,TX,2024,1.0227,,0.2378,,01/01/2021,06/30/2022,0.297,,-0.8847,,0.606,,-0.1700,,0.537,,-0.4662,,0.197,,-0.8257,,0.414,,-0.7438,,01/01/2022,12/31/2022,-0.4754,,No,
TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY,450891,TX,2024,0.9744,,-0.1721,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,0.537,,-0.4662,,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3192,,No,
THE HEART HOSPITAL BAYLOR DENTON,450893,TX,2024,0.8193,,-1.4892,,01/01/2021,06/30/2022,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.4892,,No,
UTAH VALLEY HOSPITAL,460001,UT,2024,0.7558,,-1.5902,,01/01/2021,06/30/2022,0.862,,0.0563,,0.368,,-0.6145,,0.348,,-0.7731,,0.287,,-0.5559,,0.894,,0.0139,,01/01/2022,12/31/2022,-0.5773,,No,
SALT LAKE REGIONAL MEDICAL CENTER,460003,UT,2024,1.0142,,0.1658,,01/01/2021,06/30/2022,1.687,,1.4305,,0.888,,0.3567,,N/A,13,N/A,5,2.553,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.0658,,Yes,
MCKAY DEE HOSPITAL,460004,UT,2024,0.7694,,-1.5902,,01/01/2021,06/30/2022,0.991,,0.2712,,0.735,,0.0710,,0.571,,-0.4110,,0.272,,-0.6009,,0.886,,0.0013,,01/01/2022,12/31/2022,-0.3764,,No,
OGDEN REGIONAL MEDICAL CENTER,460005,UT,2024,0.8663,,-1.0900,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.305,,-0.7322,,0.434,,-0.6335,,0.279,,-0.5799,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.9687,,No,
LDS HOSPITAL,460006,UT,2024,0.8409,,-1.3061,,01/01/2021,06/30/2022,1.999,,1.9502,,1.669,,1.8155,,0.172,,-1.0590,,1.396,,2.3099,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.3855,,Yes,
CEDAR CITY HOSPITAL,460007,UT,2024,0.9569,,-0.3213,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8688,,No,
UNIVERSITY OF UTAH HOSPITALS AND CLINICS,460009,UT,2024,0.8740,,-1.0253,,01/01/2021,06/30/2022,0.755,,-0.1219,,0.806,,0.2036,,1.261,,0.7097,,0.727,,0.7631,,0.559,,-0.5149,,01/01/2022,12/31/2022,0.0024,,No,
INTERMOUNTAIN MEDICAL CENTER,460010,UT,2024,0.9451,,-0.4214,,01/01/2021,06/30/2022,0.695,,-0.2218,,0.693,,-0.0075,,0.655,,-0.2745,,0.411,,-0.1842,,0.765,,-0.1897,,01/01/2022,12/31/2022,-0.2165,,No,
CASTLEVIEW HOSPITAL,460011,UT,2024,1.0750,,0.6819,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3672,,No,
MOUNTAIN VIEW HOSPITAL,460013,UT,2024,0.8974,,-0.8264,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.1214,,No,
MOUNTAIN WEST MEDICAL CENTER,460014,UT,2024,0.9699,,-0.2105,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2105,,No,
LOGAN REGIONAL HOSPITAL,460015,UT,2024,0.8997,,-0.8064,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.563,,-0.2503,,1.058,,0.3800,,0.496,,0.0706,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1515,,No,
BRIGHAM CITY COMMUNITY HOSPITAL,460017,UT,2024,0.9833,,-0.0965,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0965,,No,
UINTAH BASIN MEDICAL CENTER,460019,UT,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.4163,,No,
ST. GEORGE REGIONAL HOSPITAL,460021,UT,2024,0.8791,,-0.9820,,01/01/2021,06/30/2022,0.465,,-0.6049,,0.471,,-0.4221,,1.168,,0.5586,,0.225,,-0.7418,,0.260,,-0.9869,,01/01/2022,12/31/2022,-0.5298,,No,
AMERICAN FORK HOSPITAL,460023,UT,2024,1.0422,,0.4032,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.897,,0.3735,,0.000,,-1.3383,,0.648,,0.5263,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0088,,No,
SEVIER VALLEY HOSPITAL,460026,UT,2024,0.9871,,-0.0644,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0644,,No,
ASHLEY REGIONAL MEDICAL CENTER,460030,UT,2024,0.9777,,-0.1443,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.534,,0.1845,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.0201,,No,
BEAR RIVER VALLEY HOSPITAL,460039,UT,2024,0.9944,,-0.0024,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0024,,No,
DAVIS HOSPITAL AND MEDICAL CENTER,460041,UT,2024,1.4703,,2.3062,,01/01/2021,06/30/2022,1.580,,1.2523,,0.000,,-1.3018,,0.567,,-0.4175,,0.692,,0.6582,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.4995,,Yes,
LAKEVIEW HOSPITAL,460042,UT,2024,0.8738,,-1.0268,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.222,,-0.7508,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8888,,No,
OREM COMMUNITY HOSPITAL,460043,UT,2024,N/A,5,N/A,5,01/01/2021,06/30/2022,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
ALTA VIEW HOSPITAL,460044,UT,2024,0.9532,,-0.3524,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.3383,,0.927,,1.3626,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1094,,No,
ST MARK'S HOSPITAL,460047,UT,2024,1.1413,,1.2453,,01/01/2021,06/30/2022,1.036,,0.3462,,0.454,,-0.4539,,0.446,,-0.6140,,0.731,,0.7751,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.0164,,No,
THE ORTHOPEDIC SPECIALTY HOSPITAL,460049,UT,2024,0.9552,,-0.3359,,01/01/2021,06/30/2022,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3359,,No,
JORDAN VALLEY MEDICAL CENTER,460051,UT,2024,0.8950,,-0.8466,,01/01/2021,06/30/2022,0.320,,-0.8464,,0.329,,-0.6874,,0.000,,-1.3383,,0.783,,0.9310,,0.698,,-0.2955,,01/01/2022,12/31/2022,-0.5139,,No,
TIMPANOGOS REGIONAL HOSPITAL,460052,UT,2024,0.8911,,-0.8799,,01/01/2021,06/30/2022,0.666,,-0.2701,,N/A,13,N/A,5,1.146,,0.5229,,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.5109,,No,
CACHE VALLEY HOSPITAL,460054,UT,2024,0.9820,,-0.1078,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1078,,No,
PARK CITY HOSPITAL,460057,UT,2024,0.9609,,-0.2874,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8518,,No,
RIVERTON HOSPITAL,460058,UT,2024,1.0325,,0.3207,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,2.073,,2.0284,,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.3109,,No,
LONE PEAK HOSPITAL,460060,UT,2024,0.9545,,-0.3416,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8790,,No,
LAYTON HOSPITAL,460061,UT,2024,0.9660,,-0.2437,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.271,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.0331,,Yes,
SPANISH FORK HOSPITAL,460062,UT,2024,1.0168,,0.1873,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.871,,1.1948,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.6910,,Yes,
CENTRAL VERMONT MEDICAL CENTER,470001,VT,2024,1.3215,,2.3062,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.985,,0.5379,,N/A,13,N/A,5,0.512,,0.1186,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.9876,,Yes,
UNIV. OF VERMONT - FLETCHER ALLEN HEALTH CARE,470003,VT,2024,1.4153,,2.3062,,01/01/2021,06/30/2022,0.870,,0.0697,,1.197,,0.9339,,1.619,,1.2911,,0.679,,0.6192,,0.335,,-0.8685,,01/01/2022,12/31/2022,0.7253,,Yes,
RUTLAND REGIONAL MEDICAL CENTER,470005,VT,2024,0.9825,,-0.1038,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.324,,-0.6967,,1.245,,0.6837,,0.538,,0.1965,,0.492,,-0.6206,,01/01/2022,12/31/2022,-0.3201,,No,
BRATTLEBORO MEMORIAL HOSPITAL,470011,VT,2024,1.0007,,0.0509,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.6827,,No,
SOUTHWESTERN VERMONT MEDICAL CENTER,470012,VT,2024,0.9248,,-0.5935,,01/01/2021,06/30/2022,N/A,13,N/A,5,2.370,,2.3067,,N/A,13,N/A,5,1.431,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.3411,,Yes,
NORTHWESTERN MEDICAL CENTER INC,470024,VT,2024,1.3363,,2.3062,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,0.000,,-1.3383,,0.198,,-0.8227,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2892,,No,
RUSSELL COUNTY HOSPITAL,490002,VA,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.4163,,No,
SENTARA RMH MEDICAL CENTER,490004,VA,2024,1.0765,,0.6945,,01/01/2021,06/30/2022,1.325,,0.8275,,1.780,,2.0228,,1.104,,0.4547,,0.503,,0.0916,,1.635,,1.1836,,01/01/2022,12/31/2022,0.8791,,Yes,
WINCHESTER MEDICAL CENTER,490005,VA,2024,0.8207,,-1.4773,,01/01/2021,06/30/2022,1.020,,0.3195,,0.877,,0.3362,,0.824,,-0.0001,,0.603,,0.3914,,1.173,,0.4543,,01/01/2022,12/31/2022,0.0040,,No,
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,2024,1.1922,,1.6768,,01/01/2021,06/30/2022,0.885,,0.0947,,0.449,,-0.4632,,0.000,,-1.3383,,0.456,,-0.0493,,0.986,,0.1591,,01/01/2022,12/31/2022,0.0133,,No,
UNIVERSITY OF VIRGINIA MEDICAL CENTER,490009,VA,2024,1.0867,,0.7813,,01/01/2021,06/30/2022,1.132,,0.5061,,0.662,,-0.0654,,1.431,,0.9857,,0.410,,-0.1872,,0.771,,-0.1802,,01/01/2022,12/31/2022,0.3067,,No,
SENTARA HALIFAX REGIONAL HOSPITAL,490013,VA,2024,1.1224,,1.0846,,01/01/2021,06/30/2022,N/A,13,N/A,5,1.502,,1.5036,,N/A,13,N/A,5,0.629,,0.4693,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.0192,,Yes,
BON SECOURS MARYVIEW MEDICAL CENTER,490017,VA,2024,0.9066,,-0.7485,,01/01/2021,06/30/2022,0.335,,-0.8215,,0.452,,-0.4576,,0.000,,-1.3383,,0.039,,-1.2994,,0.298,,-0.9269,,01/01/2022,12/31/2022,-0.9320,,No,
AUGUSTA HEALTH,490018,VA,2024,1.0723,,0.6588,,01/01/2021,06/30/2022,0.507,,-0.5350,,1.367,,1.2514,,0.301,,-0.8495,,0.303,,-0.5080,,0.395,,-0.7738,,01/01/2022,12/31/2022,-0.1260,,No,
NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MED CENTE,490019,VA,2024,1.0228,,0.2384,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.932,,0.4389,,N/A,13,N/A,5,0.165,,-0.9217,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0815,,No,
JOHN RANDOLPH MEDICAL CENTER,490020,VA,2024,0.9203,,-0.6321,,01/01/2021,06/30/2022,0.612,,-0.3601,,0.000,,-1.3018,,0.580,,-0.3964,,0.156,,-0.9486,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7278,,No,
CENTRA HEALTH -  LYNCHBURG GEN HOSPITAL,490021,VA,2024,1.3853,,2.3062,,01/01/2021,06/30/2022,1.052,,0.3728,,1.015,,0.5939,,0.606,,-0.3541,,0.314,,-0.4750,,1.133,,0.3912,,01/01/2022,12/31/2022,0.4725,,Yes,
MARY WASHINGTON HOSPITAL,490022,VA,2024,1.2377,,2.0634,,01/01/2021,06/30/2022,1.777,,1.5804,,0.935,,0.4445,,1.186,,0.5878,,0.572,,0.2984,,2.907,,2.2744,,01/01/2022,12/31/2022,1.2082,,Yes,
FAUQUIER HOSPITAL,490023,VA,2024,1.0930,,0.8347,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.152,,-0.9606,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0630,,No,
CARILION MEDICAL CENTER,490024,VA,2024,1.1302,,1.1510,,01/01/2021,06/30/2022,0.557,,-0.4517,,0.749,,0.0971,,0.625,,-0.3233,,0.573,,0.3014,,0.962,,0.1213,,01/01/2022,12/31/2022,0.1493,,No,
MEDICAL COLLEGE OF VIRGINIA HOSPITALS,490032,VA,2024,0.7275,,-1.5902,,01/01/2021,06/30/2022,0.872,,0.0730,,0.374,,-0.6033,,0.983,,0.2582,,0.438,,-0.1033,,0.649,,-0.3728,,01/01/2022,12/31/2022,-0.3897,,No,
WARREN MEMORIAL HOSPITAL,490033,VA,2024,0.9436,,-0.4342,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.327,,-0.4360,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.4351,,No,
RIVERSIDE SHORE MEMORIAL HOSPITAL,490037,VA,2024,1.0575,,0.5332,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.289,,-0.5499,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0084,,No,
SMYTH COUNTY COMMUNITY HOSPITAL,490038,VA,2024,0.9656,,-0.2475,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2475,,No,
INOVA ALEXANDRIA HOSPITAL,490040,VA,2024,1.0462,,0.4375,,01/01/2021,06/30/2022,0.265,,-0.9380,,0.140,,-1.0404,,0.369,,-0.7390,,0.000,,-1.4163,,0.937,,0.0818,,01/01/2022,12/31/2022,-0.6024,,No,
MARY IMMACULATE HOSPITAL,490041,VA,2024,0.9118,,-0.7040,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.503,,-0.3624,,0.000,,-1.3383,,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.9552,,No,
CARILION NEW RIVER VALLEY MEDICAL CENTER,490042,VA,2024,0.8333,,-1.3703,,01/01/2021,06/30/2022,0.294,,-0.8897,,1.056,,0.6705,,0.000,,-1.3383,,0.946,,1.4196,,2.767,,2.2744,,01/01/2022,12/31/2022,0.1277,,No,
INOVA LOUDOUN HOSPITAL,490043,VA,2024,0.9225,,-0.6134,,01/01/2021,06/30/2022,0.942,,0.1896,,0.775,,0.1457,,0.787,,-0.0602,,0.000,,-1.4163,,0.477,,-0.6443,,01/01/2022,12/31/2022,-0.3998,,No,
SENTARA OBICI HOSPITAL,490044,VA,2024,1.0550,,0.5122,,01/01/2021,06/30/2022,0.602,,-0.3767,,0.345,,-0.6575,,0.248,,-0.9355,,0.270,,-0.6069,,0.397,,-0.7706,,01/01/2022,12/31/2022,-0.4725,,No,
NOVANT PRINCE WILLIAM MEDICAL CENTER,490045,VA,2024,0.9229,,-0.6101,,01/01/2021,06/30/2022,0.508,,-0.5333,,0.417,,-0.5230,,2.740,,2.1665,,0.066,,-1.2184,,2.191,,2.0613,,01/01/2022,12/31/2022,0.2238,,No,
SENTARA LEIGH HOSPITAL,490046,VA,2024,0.9289,,-0.5588,,01/01/2021,06/30/2022,0.356,,-0.7865,,0.836,,0.2596,,0.308,,-0.8381,,0.210,,-0.7868,,1.221,,0.5301,,01/01/2022,12/31/2022,-0.3634,,No,
LEWISGALE MEDICAL CENTER,490048,VA,2024,0.7910,,-1.5902,,01/01/2021,06/30/2022,0.401,,-0.7115,,0.686,,-0.0206,,1.252,,0.6950,,0.259,,-0.6399,,0.516,,-0.5828,,01/01/2022,12/31/2022,-0.4750,,No,
VIRGINIA HOSPITAL CENTER,490050,VA,2024,0.9522,,-0.3606,,01/01/2021,06/30/2022,0.565,,-0.4384,,1.545,,1.5839,,1.007,,0.2971,,0.533,,0.1815,,0.949,,0.1007,,01/01/2022,12/31/2022,0.2274,,No,
RIVERSIDE REGIONAL MEDICAL CENTER,490052,VA,2024,0.9275,,-0.5711,,01/01/2021,06/30/2022,0.239,,-0.9814,,0.460,,-0.4427,,0.208,,-1.0005,,0.375,,-0.2921,,0.650,,-0.3712,,01/01/2022,12/31/2022,-0.6098,,No,
JOHNSTON MEMORIAL HOSPITAL,490053,VA,2024,1.0954,,0.8553,,01/01/2021,06/30/2022,0.503,,-0.5416,,1.250,,1.0329,,1.412,,0.9549,,0.193,,-0.8377,,2.232,,2.1260,,01/01/2022,12/31/2022,0.5983,,Yes,
SENTARA VIRGINIA BEACH GENERAL HOSPITAL,490057,VA,2024,0.8701,,-1.0580,,01/01/2021,06/30/2022,0.673,,-0.2585,,0.194,,-0.9395,,0.480,,-0.5588,,0.494,,0.0646,,1.498,,0.9674,,01/01/2022,12/31/2022,-0.2971,,No,
BON SECOURS ST MARYS HOSPITAL,490059,VA,2024,0.9821,,-0.1068,,01/01/2021,06/30/2022,1.262,,0.7226,,0.297,,-0.7471,,1.288,,0.7535,,0.086,,-1.1585,,0.917,,0.0502,,01/01/2022,12/31/2022,-0.0810,,No,
CLINCH VALLEY MEDICAL CENTER,490060,VA,2024,0.9211,,-0.6249,,01/01/2021,06/30/2022,2.730,,2.2883,,1.025,,0.6126,,N/A,13,N/A,5,0.447,,-0.0763,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.5499,,Yes,
INOVA FAIRFAX HOSPITAL,490063,VA,2024,1.0726,,0.6614,,01/01/2021,06/30/2022,0.510,,-0.5300,,0.836,,0.2596,,0.631,,-0.3135,,0.383,,-0.2682,,0.652,,-0.3681,,01/01/2022,12/31/2022,-0.0931,,No,
SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,490066,VA,2024,0.9335,,-0.5196,,01/01/2021,06/30/2022,0.484,,-0.5733,,2.211,,2.3067,,0.000,,-1.3383,,0.538,,0.1965,,0.833,,-0.0824,,01/01/2022,12/31/2022,-0.0017,,No,
BON SECOURS SOUTHSIDE MEDICAL CENTER,490067,VA,2024,1.1303,,1.1512,,01/01/2021,06/30/2022,0.992,,0.2729,,0.539,,-0.2951,,1.399,,0.9338,,0.224,,-0.7448,,0.206,,-1.0721,,01/01/2022,12/31/2022,0.0410,,No,
BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,490069,VA,2024,0.7818,,-1.5902,,01/01/2021,06/30/2022,0.966,,0.2296,,0.563,,-0.2503,,1.230,,0.6593,,0.256,,-0.6489,,0.494,,-0.6175,,01/01/2022,12/31/2022,-0.3697,,No,
SOVAH HEALTH DANVILLE,490075,VA,2024,0.8774,,-0.9964,,01/01/2021,06/30/2022,0.635,,-0.3218,,0.866,,0.3156,,1.330,,0.8217,,0.093,,-1.1375,,1.813,,1.4646,,01/01/2022,12/31/2022,0.0244,,No,
SENTARA MARTHA JEFFERSON HOSPITAL,490077,VA,2024,0.9516,,-0.3665,,01/01/2021,06/30/2022,0.962,,0.2229,,0.775,,0.1457,,0.300,,-0.8511,,0.497,,0.0736,,2.003,,1.7645,,01/01/2022,12/31/2022,0.1649,,No,
VCU HEALTH TAPPAHANNOCK HOSPITAL,490084,VA,2024,1.0457,,0.4331,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.4916,,No,
CENTRA BEDFORD MEMORIAL HOSPITAL,490088,VA,2024,0.9499,,-0.3804,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.409,,-0.1902,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2853,,No,
CARILION FRANKLIN MEMORIAL HOSPITAL,490089,VA,2024,0.9622,,-0.2757,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.524,,0.1545,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0606,,No,
"CENTRA SOUTHSIDE COMMUNITY HOSPITAL, INC",490090,VA,2024,1.0369,,0.3580,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.5292,,No,
BON SECOURS SOUTHAMPTON MEMORIAL HOSPITAL,490092,VA,2024,0.9557,,-0.3315,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.295,,-0.5320,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.4317,,No,
SENTARA CAREPLEX HOSPITAL,490093,VA,2024,0.8250,,-1.4410,,01/01/2021,06/30/2022,1.032,,0.3395,,0.000,,-1.3018,,0.274,,-0.8933,,0.192,,-0.8407,,1.820,,1.4756,,01/01/2022,12/31/2022,-0.4436,,No,
BON SECOURS RICHMOND COMMUNITY HOSPITAL,490094,VA,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,18,2.1665,18,0.255,,-0.6519,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.7573,,Yes,
BON SECOURS SOUTHERN VIRGINIA MEDICAL CENTER,490097,VA,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
